Unnamed: 0,tags,value,series_id
2204,brokerDealerName,BlackRock Execution Services,S000004361
2205,brokerDealerFileNo,8-48719,S000004361
2206,brokerDealerCrdNo,000039438,S000004361
2207,brokerDealerLei,549300HFCRQ0NT5KY652,S000004361
2208,brokerDealerState,US-NY,S000004361
2209,brokerDealerCountry,US,S000004361
2210,brokerDealerCommission,0.00000000,S000004361
2211,brokerDealerName,"BlackRock Investments, LLC",S000004361
2212,brokerDealerFileNo,8-48436,S000004361
2213,brokerDealerCrdNo,000038642,S000004361
2214,brokerDealerLei,54930061FBHCKXL2G714,S000004361
2215,brokerDealerState,US-NY,S000004361
2216,brokerDealerCountry,US,S000004361
2217,brokerDealerCommission,0.00000000,S000004361
2218,aggregateCommission,0.00000000,S000004361
2219,principalName,Goldman Sachs & Co. LLC,S000004361
2220,principalFileNo,8-129,S000004361
2221,principalCrdNo,000000361,S000004361
2222,principalLei,FOR8UP27PHTHYVLBNG30,S000004361
2223,principalState,US-NY,S000004361
2224,principalCountry,US,S000004361
2225,principalTotalPurchaseSale,1345075223.30000000,S000004361
2226,principalName,Deutsche Bank Securities Inc.,S000004361
2227,principalFileNo,8-17822,S000004361
2228,principalCrdNo,000002525,S000004361
2229,principalLei,9J6MBOOO7BECTDTUZW19,S000004361
2230,principalState,US-NY,S000004361
2231,principalCountry,US,S000004361
2232,principalTotalPurchaseSale,463590177.69000000,S000004361
2233,principalName,"BofA Securities, Inc.",S000004361
2234,principalFileNo,8-69787,S000004361
2235,principalCrdNo,000283942,S000004361
2236,principalLei,549300HN4UKV1E2R3U73,S000004361
2237,principalState,US-NY,S000004361
2238,principalCountry,US,S000004361
2239,principalTotalPurchaseSale,1818801849.40000000,S000004361
2240,principalName,National Securities Clearing Corporation,S000004361
2241,principalFileNo,8-164,S000004361
2242,principalCrdNo,000007569,S000004361
2243,principalLei,549300RYC9NELN2ICA34,S000004361
2244,principalState,US-NY,S000004361
2245,principalCountry,US,S000004361
2246,principalTotalPurchaseSale,83596085784.06000000,S000004361
2247,principalName,J.P. Morgan Securities LLC,S000004361
2248,principalFileNo,8-35008,S000004361
2249,principalCrdNo,000000079,S000004361
2250,principalLei,ZBUT11V806EZRVTWT807,S000004361
2251,principalState,US-NY,S000004361
2252,principalCountry,US,S000004361
2253,principalTotalPurchaseSale,1220716434.91000000,S000004361
2254,principalName,BlackRock Funds III - BlackRock Cash Funds: Treasury,S000004361
2255,principalFileNo,,S000004361
2256,principalCrdNo,,S000004361
2257,principalLei,5493005PQV5UQG4OSI49,S000004361
2258,principalState,US-DE,S000004361
2259,principalCountry,US,S000004361
2260,principalTotalPurchaseSale,7839800000.00000000,S000004361
2261,principalName,Citigroup Global Markets Inc.,S000004361
2262,principalFileNo,8-8177,S000004361
2263,principalCrdNo,000007059,S000004361
2264,principalLei,MBNUM2BPBDO7JBLYG310,S000004361
2265,principalState,US-NY,S000004361
2266,principalCountry,US,S000004361
2267,principalTotalPurchaseSale,1039454083.11000000,S000004361
2268,principalName,"Wells Fargo Securities, LLC",S000004361
2269,principalFileNo,8-65876,S000004361
2270,principalCrdNo,000126292,S000004361
2271,principalLei,VYVVCKR63DVZZN70PB21,S000004361
2272,principalState,US-NC,S000004361
2273,principalCountry,US,S000004361
2274,principalTotalPurchaseSale,361967408.67000000,S000004361
2275,principalName,Morgan Stanley & Co. LLC,S000004361
2276,principalFileNo,8-15869,S000004361
2277,principalCrdNo,000008209,S000004361
2278,principalLei,9R7GPTSO7KV3UQJZQ078,S000004361
2279,principalState,US-NY,S000004361
2280,principalCountry,US,S000004361
2281,principalTotalPurchaseSale,1269870288.43000000,S000004361
2282,principalName,Barclays Capital Inc.,S000004361
2283,principalFileNo,8-41342,S000004361
2284,principalCrdNo,000019714,S000004361
2285,principalLei,AC28XWWI3WIBK2824319,S000004361
2286,principalState,US-NY,S000004361
2287,principalCountry,US,S000004361
2288,principalTotalPurchaseSale,687322262.01000000,S000004361
2289,principalAggregatePurchase,102783301009.60000000,S000004361
2290,isBrokerageResearchPayment,N,S000004361
2291,mnthlyAvgNetAssets,34483128105.97615384,S000004361
2292,hasLineOfCredit,N,S000004361
2293,isInterfundLending,N,S000004361
2294,isInterfundBorrowing,N,S000004361
2295,mgmtInvFundName,iShares California Muni Bond ETF,S000004361
2296,mgmtInvSeriesId,S000019341,S000004361
2297,mgmtInvLei,5493005PBQ3IFT3REX09,S000004361
2298,isFirstFilingByFund,N,S000004361
2299,numAuthorizedClass,0,S000004361
2300,numAddedClass,0,S000004361
2301,numTerminatedClass,0,S000004361
2302,sharesOutstandingClassName,iShares California Muni Bond ETF,S000004361
2303,sharesOutstandingClassId,C000053739,S000004361
2304,sharesOutstandingTickerSymbol,CMF,S000004361
2305,fundType,Exchange-Traded Fund,S000004361
2306,fundType,Index Fund,S000004361
2307,isIndexFundAffiliated,N,S000004361
2308,isIndexFundExclusive,N,S000004361
2309,indexFundReturnDiffBeforeExpense,0.06000000,S000004361
2310,indexFundReturnDiffAfterExpense,-0.19000000,S000004361
2311,indexFundReturnDailyStdevBeforeExpense,0.15000000,S000004361
2312,indexFundReturnDailyStdevAfterExpense,0.15000000,S000004361
2313,isNonDiversifiedCompany,Y,S000004361
2314,isForeignSubsidiary,N,S000004361
2315,isFundSecuritiesLending,Y,S000004361
2316,didFundLendSecurities,N,S000004361
2317,securitiesAgentName,"BlackRock Institutional Trust Company, National Association",S000004361
2318,securitiesAgentLei,549300RK1FB0VMTPD087,S000004361
2319,isSecuritiesAgentAffiliated,Y,S000004361
2320,isSecurityAgentIdemnity,Y,S000004361
2321,idemnityProviderName,"BlackRock, Inc.",S000004361
2322,idemnityProviderLei,549300LRIF3NWCU26A80,S000004361
2323,didIndemnificationRights,N,S000004361
2324,collateralManagerName,BlackRock Fund Advisors,S000004361
2325,collateralManagerLei,549300YOOGP0Y1M95C20,S000004361
2326,isCollateralManagerAffliliated,Y,S000004361
2327,isCollateralManagerAffliliatedWithFund,Y,S000004361
2328,paymentToAgentManagerType,Revenue sharing split,S000004361
2329,paymentToAgentManagerType,Other,S000004361
2330,paymentToAgentManagerType,Cash collateral reinvestment fee,S000004361
2331,otherFeeDesc,Rebates paid to borrowers,S000004361
2332,avgPortfolioSecuritiesValue,,S000004361
2333,netIncomeSecuritiesLending,,S000004361
2334,relyOnRuleType,Rule 12d1-4 (17 CFR 270.12d1-4),S000004361
2335,relyOnRuleType,Rule 18f-4 (17 CFR 270.18f-4),S000004361
2336,relyOnRuleType,Rule 18f-4(f)(17 CFR 270.18f-4(f)),S000004361
2337,relyOnRuleType,Rule 32a-4 (17 CFR 270.32a-4),S000004361
2338,relyOnRuleType,Rule 18f-4(c)(4) (17CFR 270.18f-4(c)(4)),S000004361
2339,relyOnRuleType,Rule 12d1-1 (17 CFR 270.12d1-1),S000004361
2340,relyOnRuleType,Rule 6c-11 (17 CFR 270.6c-11),S000004361
2341,isExpenseLimitationInPlace,N,S000004361
2342,isExpenseReducedOrWaived,N,S000004361
2343,isFeesWaivedRecoupable,N,S000004361
2344,isExpenseWaivedRecoupable,N,S000004361
2345,investmentAdviserName,BlackRock Fund Advisors,S000004361
2346,investmentAdviserFileNo,801-22609,S000004361
2347,investmentAdviserCrdNo,000105247,S000004361
2348,investmentAdviserLei,549300YOOGP0Y1M95C20,S000004361
2349,investmentAdviserState,US-CA,S000004361
2350,investmentAdviserCountry,US,S000004361
2351,isInvestmentAdviserHired,N,S000004361
2352,transferAgentName,State Street Bank and Trust Company,S000004361
2353,transferAgentFileNo,85-05003,S000004361
2354,transferAgentLei,571474TGEMMWANRLN572,S000004361
2355,transferAgentState,US-MA,S000004361
2356,transferAgentCountry,US,S000004361
2357,isTransferAgentAffiliated,N,S000004361
2358,isTransferAgentSubAgent,N,S000004361
2359,isTransferAgentHiredOrTerminated,N,S000004361
2360,pricingServiceName,IHS Markit Ltd.,S000004361
2361,pricingServiceLei,549300HLPTRASHS0E726,S000004361
2362,pricingServiceCountry,GB,S000004361
2363,isPricingServiceAffiliated,N,S000004361
2364,pricingServiceName,Refinitiv US Holdings Inc.,S000004361
2365,pricingServiceLei,549300NF240HXJO7N016,S000004361
2366,pricingServiceState,US-CT,S000004361
2367,pricingServiceCountry,US,S000004361
2368,isPricingServiceAffiliated,N,S000004361
2369,pricingServiceName,"ICE Data Services, Inc.",S000004361
2370,pricingServiceLei,13-3668779,S000004361
2371,pricingServiceIdNumberDesc,Tax ID,S000004361
2372,pricingServiceState,US-NY,S000004361
2373,pricingServiceCountry,US,S000004361
2374,isPricingServiceAffiliated,N,S000004361
2375,pricingServiceName,Bloomberg L.P.,S000004361
2376,pricingServiceLei,549300B56MD0ZC402L06,S000004361
2377,pricingServiceState,US-NY,S000004361
2378,pricingServiceCountry,US,S000004361
2379,isPricingServiceAffiliated,N,S000004361
2380,isPricingServiceHiredOrTerminated,N,S000004361
2381,custodianName,State Street Bank and Trust Company,S000004361
2382,custodianLei,571474TGEMMWANRLN572,S000004361
2383,custodianState,US-MA,S000004361
2384,custodianCountry,US,S000004361
2385,isCustodianAffiliated,N,S000004361
2386,isSubCustodian,N,S000004361
2387,custodyType,Bank - section 17(f)(1) (15 U.S.C. 80a-17(f)(1)),S000004361
2388,isCustodianHiredOrTerminated,N,S000004361
2389,isShareholderServiceHiredTerminated,N,S000004361
2390,adminName,State Street Bank and Trust Company,S000004361
2391,adminLei,571474TGEMMWANRLN572,S000004361
2392,adminState,US-MA,S000004361
2393,adminCountry,US,S000004361
2394,isAdminAffiliated,N,S000004361
2395,isAdminSubAdmin,N,S000004361
2396,isAdminHiredOrTerminated,N,S000004361
2397,brokerDealerName,"BlackRock Investments, LLC",S000004361
2398,brokerDealerFileNo,8-48436,S000004361
2399,brokerDealerCrdNo,000038642,S000004361
2400,brokerDealerLei,54930061FBHCKXL2G714,S000004361
2401,brokerDealerState,US-NY,S000004361
2402,brokerDealerCountry,US,S000004361
2403,brokerDealerCommission,0.00000000,S000004361
2404,brokerDealerName,BlackRock Execution Services,S000004361
2405,brokerDealerFileNo,8-48719,S000004361
2406,brokerDealerCrdNo,000039438,S000004361
2407,brokerDealerLei,549300HFCRQ0NT5KY652,S000004361
2408,brokerDealerState,US-NY,S000004361
2409,brokerDealerCountry,US,S000004361
2410,brokerDealerCommission,0.00000000,S000004361
2411,aggregateCommission,0.00000000,S000004361
2412,principalName,"BofA Securities, Inc.",S000004361
2413,principalFileNo,8-69787,S000004361
2414,principalCrdNo,000283942,S000004361
2415,principalLei,549300HN4UKV1E2R3U73,S000004361
2416,principalState,US-NY,S000004361
2417,principalCountry,US,S000004361
2418,principalTotalPurchaseSale,250406153.35000000,S000004361
2419,principalName,Citigroup Global Markets Inc.,S000004361
2420,principalFileNo,8-8177,S000004361
2421,principalCrdNo,000007059,S000004361
2422,principalLei,MBNUM2BPBDO7JBLYG310,S000004361
2423,principalState,US-NY,S000004361
2424,principalCountry,US,S000004361
2425,principalTotalPurchaseSale,31027037.25000000,S000004361
2426,principalName,Morgan Stanley & Co. LLC,S000004361
2427,principalFileNo,8-15869,S000004361
2428,principalCrdNo,000008209,S000004361
2429,principalLei,9R7GPTSO7KV3UQJZQ078,S000004361
2430,principalState,US-NY,S000004361
2431,principalCountry,US,S000004361
2432,principalTotalPurchaseSale,521520327.60000000,S000004361
2433,principalName,J.P. Morgan Securities LLC,S000004361
2434,principalFileNo,8-35008,S000004361
2435,principalCrdNo,000000079,S000004361
2436,principalLei,ZBUT11V806EZRVTWT807,S000004361
2437,principalState,US-NY,S000004361
2438,principalCountry,US,S000004361
2439,principalTotalPurchaseSale,110553776.57000000,S000004361
2440,principalName,Jefferies LLC,S000004361
2441,principalFileNo,8-15074,S000004361
2442,principalCrdNo,000002347,S000004361
2443,principalLei,58PU97L1C0WSRCWADL48,S000004361
2444,principalState,US-NY,S000004361
2445,principalCountry,US,S000004361
2446,principalTotalPurchaseSale,37174774.95000000,S000004361
2447,principalName,Barclays Capital Inc.,S000004361
2448,principalFileNo,8-41342,S000004361
2449,principalCrdNo,000019714,S000004361
2450,principalLei,AC28XWWI3WIBK2824319,S000004361
2451,principalState,US-NY,S000004361
2452,principalCountry,US,S000004361
2453,principalTotalPurchaseSale,24776104.50000000,S000004361
2454,principalName,"Wells Fargo Securities, LLC",S000004361
2455,principalFileNo,8-65876,S000004361
2456,principalCrdNo,000126292,S000004361
2457,principalLei,VYVVCKR63DVZZN70PB21,S000004361
2458,principalState,US-NC,S000004361
2459,principalCountry,US,S000004361
2460,principalTotalPurchaseSale,12325548.45000000,S000004361
2461,principalName,BlackRock Liquidity Funds - California Money Fund,S000004361
2462,principalFileNo,,S000004361
2463,principalCrdNo,,S000004361
2464,principalLei,549300E5GIHTAGOVRB65,S000004361
2465,principalState,US-NY,S000004361
2466,principalCountry,US,S000004361
2467,principalTotalPurchaseSale,976193895.00000000,S000004361
2468,principalName,Goldman Sachs & Co. LLC,S000004361
2469,principalFileNo,8-129,S000004361
2470,principalCrdNo,000000361,S000004361
2471,principalLei,FOR8UP27PHTHYVLBNG30,S000004361
2472,principalState,US-NY,S000004361
2473,principalCountry,US,S000004361
2474,principalTotalPurchaseSale,110157773.81000000,S000004361
2475,principalName,"Truist Securities, Inc.",S000004361
2476,principalFileNo,8-17212,S000004361
2477,principalCrdNo,000006271,S000004361
2478,principalLei,CSVTK36R0PNGXEM7NS14,S000004361
2479,principalState,US-GA,S000004361
2480,principalCountry,US,S000004361
2481,principalTotalPurchaseSale,4833344.00000000,S000004361
2482,principalAggregatePurchase,2086208203.93000000,S000004361
2483,isBrokerageResearchPayment,N,S000004361
2484,mnthlyAvgNetAssets,1841193828.58538461,S000004361
2485,hasLineOfCredit,N,S000004361
2486,isInterfundLending,N,S000004361
2487,isInterfundBorrowing,N,S000004361
2488,mgmtInvFundName,iShares Core 5-10 Year USD Bond ETF,S000004361
2489,mgmtInvSeriesId,S000055401,S000004361
2490,mgmtInvLei,549300E5GUSCE00FIQ17,S000004361
2491,isFirstFilingByFund,N,S000004361
2492,numAuthorizedClass,0,S000004361
2493,numAddedClass,0,S000004361
2494,numTerminatedClass,0,S000004361
2495,sharesOutstandingClassName,iShares Core 5-10 Year USD Bond ETF,S000004361
2496,sharesOutstandingClassId,C000174365,S000004361
2497,sharesOutstandingTickerSymbol,IMTB,S000004361
2498,fundType,Exchange-Traded Fund,S000004361
2499,fundType,Index Fund,S000004361
2500,isIndexFundAffiliated,N,S000004361
2501,isIndexFundExclusive,N,S000004361
2502,indexFundReturnDiffBeforeExpense,0.17000000,S000004361
2503,indexFundReturnDiffAfterExpense,0.12000000,S000004361
2504,indexFundReturnDailyStdevBeforeExpense,0.35000000,S000004361
2505,indexFundReturnDailyStdevAfterExpense,0.35000000,S000004361
2506,isNonDiversifiedCompany,N,S000004361
2507,isForeignSubsidiary,N,S000004361
2508,isFundSecuritiesLending,Y,S000004361
2509,didFundLendSecurities,Y,S000004361
2510,isFundLiquidated,N,S000004361
2511,isFundAdverselyImpacted,N,S000004361
2512,securitiesAgentName,"BlackRock Institutional Trust Company, National Association",S000004361
2513,securitiesAgentLei,549300RK1FB0VMTPD087,S000004361
2514,isSecuritiesAgentAffiliated,Y,S000004361
2515,isSecurityAgentIdemnity,Y,S000004361
2516,idemnityProviderName,"BlackRock, Inc.",S000004361
2517,idemnityProviderLei,549300LRIF3NWCU26A80,S000004361
2518,didIndemnificationRights,N,S000004361
2519,collateralManagerName,BlackRock Fund Advisors,S000004361
2520,collateralManagerLei,549300YOOGP0Y1M95C20,S000004361
2521,isCollateralManagerAffliliated,Y,S000004361
2522,isCollateralManagerAffliliatedWithFund,Y,S000004361
2523,paymentToAgentManagerType,Cash collateral reinvestment fee,S000004361
2524,paymentToAgentManagerType,Other,S000004361
2525,paymentToAgentManagerType,Revenue sharing split,S000004361
2526,otherFeeDesc,Rebates paid to borrowers,S000004361
2527,avgPortfolioSecuritiesValue,1561043.16000000,S000004361
2528,netIncomeSecuritiesLending,12038.00000000,S000004361
2529,relyOnRuleType,Rule 32a-4 (17 CFR 270.32a-4),S000004361
2530,relyOnRuleType,Rule 12d1-1 (17 CFR 270.12d1-1),S000004361
2531,relyOnRuleType,Rule 6c-11 (17 CFR 270.6c-11),S000004361
2532,relyOnRuleType,Rule 17a-7 (17 CFR 270.17a-7),S000004361
2533,relyOnRuleType,Rule 18f-4(f)(17 CFR 270.18f-4(f)),S000004361
2534,relyOnRuleType,Rule 18f-4 (17 CFR 270.18f-4),S000004361
2535,relyOnRuleType,Rule 12d1-4 (17 CFR 270.12d1-4),S000004361
2536,isExpenseLimitationInPlace,Y,S000004361
2537,isExpenseReducedOrWaived,Y,S000004361
2538,isFeesWaivedRecoupable,N,S000004361
2539,isExpenseWaivedRecoupable,N,S000004361
2540,investmentAdviserName,BlackRock Fund Advisors,S000004361
2541,investmentAdviserFileNo,801-22609,S000004361
2542,investmentAdviserCrdNo,000105247,S000004361
2543,investmentAdviserLei,549300YOOGP0Y1M95C20,S000004361
2544,investmentAdviserState,US-CA,S000004361
2545,investmentAdviserCountry,US,S000004361
2546,isInvestmentAdviserHired,N,S000004361
2547,transferAgentName,State Street Bank and Trust Company,S000004361
2548,transferAgentFileNo,85-05003,S000004361
2549,transferAgentLei,571474TGEMMWANRLN572,S000004361
2550,transferAgentState,US-MA,S000004361
2551,transferAgentCountry,US,S000004361
2552,isTransferAgentAffiliated,N,S000004361
2553,isTransferAgentSubAgent,N,S000004361
2554,isTransferAgentHiredOrTerminated,N,S000004361
2555,pricingServiceName,Bloomberg L.P.,S000004361
2556,pricingServiceLei,549300B56MD0ZC402L06,S000004361
2557,pricingServiceState,US-NY,S000004361
2558,pricingServiceCountry,US,S000004361
2559,isPricingServiceAffiliated,N,S000004361
2560,pricingServiceName,"ICE Data Services, Inc.",S000004361
2561,pricingServiceLei,13-3668779,S000004361
2562,pricingServiceIdNumberDesc,Tax ID,S000004361
2563,pricingServiceState,US-NY,S000004361
2564,pricingServiceCountry,US,S000004361
2565,isPricingServiceAffiliated,N,S000004361
2566,pricingServiceName,Refinitiv US Holdings Inc.,S000004361
2567,pricingServiceLei,549300NF240HXJO7N016,S000004361
2568,pricingServiceState,US-CT,S000004361
2569,pricingServiceCountry,US,S000004361
2570,isPricingServiceAffiliated,N,S000004361
2571,pricingServiceName,IHS Markit Ltd.,S000004361
2572,pricingServiceLei,549300HLPTRASHS0E726,S000004361
2573,pricingServiceCountry,GB,S000004361
2574,isPricingServiceAffiliated,N,S000004361
2575,isPricingServiceHiredOrTerminated,N,S000004361
2576,custodianName,J.P. Morgan Securities LLC,S000004361
2577,custodianLei,ZBUT11V806EZRVTWT807,S000004361
2578,custodianState,US-NY,S000004361
2579,custodianCountry,US,S000004361
2580,isCustodianAffiliated,N,S000004361
2581,isSubCustodian,Y,S000004361
2582,custodyType,Futures commission merchants and commodity clearing organizations - rule 17f-6 (17 CFR 270.17f-6),S000004361
2583,custodianName,State Street Bank and Trust Company,S000004361
2584,custodianLei,571474TGEMMWANRLN572,S000004361
2585,custodianState,US-MA,S000004361
2586,custodianCountry,US,S000004361
2587,isCustodianAffiliated,N,S000004361
2588,isSubCustodian,N,S000004361
2589,custodyType,Bank - section 17(f)(1) (15 U.S.C. 80a-17(f)(1)),S000004361
2590,custodianName,Euroclear Bank,S000004361
2591,custodianLei,549300OZ46BRLZ8Y6F65,S000004361
2592,custodianCountry,BE,S000004361
2593,isCustodianAffiliated,N,S000004361
2594,isSubCustodian,Y,S000004361
2595,custodyType,Foreign securities depository - rule 17f-7 (17 CFR 270.17f-7),S000004361
2596,isCustodianHiredOrTerminated,N,S000004361
2597,isShareholderServiceHiredTerminated,N,S000004361
2598,adminName,State Street Bank and Trust Company,S000004361
2599,adminLei,571474TGEMMWANRLN572,S000004361
2600,adminState,US-MA,S000004361
2601,adminCountry,US,S000004361
2602,isAdminAffiliated,N,S000004361
2603,isAdminSubAdmin,N,S000004361
2604,isAdminHiredOrTerminated,N,S000004361
2605,brokerDealerName,BlackRock Execution Services,S000004361
2606,brokerDealerFileNo,8-48719,S000004361
2607,brokerDealerCrdNo,000039438,S000004361
2608,brokerDealerLei,549300HFCRQ0NT5KY652,S000004361
2609,brokerDealerState,US-NY,S000004361
2610,brokerDealerCountry,US,S000004361
2611,brokerDealerCommission,0.00000000,S000004361
2612,brokerDealerName,"BlackRock Investments, LLC",S000004361
2613,brokerDealerFileNo,8-48436,S000004361
2614,brokerDealerCrdNo,000038642,S000004361
2615,brokerDealerLei,54930061FBHCKXL2G714,S000004361
2616,brokerDealerState,US-NY,S000004361
2617,brokerDealerCountry,US,S000004361
2618,brokerDealerCommission,0.00000000,S000004361
2619,aggregateCommission,0.00000000,S000004361
2620,principalName,Citigroup Global Markets Inc.,S000004361
2621,principalFileNo,8-8177,S000004361
2622,principalCrdNo,000007059,S000004361
2623,principalLei,MBNUM2BPBDO7JBLYG310,S000004361
2624,principalState,US-NY,S000004361
2625,principalCountry,US,S000004361
2626,principalTotalPurchaseSale,192448338.87000000,S000004361
2627,principalName,"Nomura Securities International, Inc.",S000004361
2628,principalFileNo,8-15255,S000004361
2629,principalCrdNo,000004297,S000004361
2630,principalLei,OXTKY6Q8X53C9ILVV871,S000004361
2631,principalState,US-NY,S000004361
2632,principalCountry,US,S000004361
2633,principalTotalPurchaseSale,25361639.03000000,S000004361
2634,principalName,Credit Suisse Securities (USA) LLC,S000004361
2635,principalFileNo,8-422,S000004361
2636,principalCrdNo,000000816,S000004361
2637,principalLei,1V8Y6QCX6YMJ2OELII46,S000004361
2638,principalState,US-NY,S000004361
2639,principalCountry,US,S000004361
2640,principalTotalPurchaseSale,23700247.70000000,S000004361
2641,principalName,Morgan Stanley & Co. LLC,S000004361
2642,principalFileNo,8-15869,S000004361
2643,principalCrdNo,000008209,S000004361
2644,principalLei,9R7GPTSO7KV3UQJZQ078,S000004361
2645,principalState,US-NY,S000004361
2646,principalCountry,US,S000004361
2647,principalTotalPurchaseSale,167086508.22000000,S000004361
2648,principalName,Goldman Sachs & Co. LLC,S000004361
2649,principalFileNo,8-129,S000004361
2650,principalCrdNo,000000361,S000004361
2651,principalLei,FOR8UP27PHTHYVLBNG30,S000004361
2652,principalState,US-NY,S000004361
2653,principalCountry,US,S000004361
2654,principalTotalPurchaseSale,108318801.75000000,S000004361
2655,principalName,"Wells Fargo Securities, LLC",S000004361
2656,principalFileNo,8-65876,S000004361
2657,principalCrdNo,000126292,S000004361
2658,principalLei,VYVVCKR63DVZZN70PB21,S000004361
2659,principalState,US-NC,S000004361
2660,principalCountry,US,S000004361
2661,principalTotalPurchaseSale,32947547.30000000,S000004361
2662,principalName,Barclays Capital Inc.,S000004361
2663,principalFileNo,8-41342,S000004361
2664,principalCrdNo,000019714,S000004361
2665,principalLei,AC28XWWI3WIBK2824319,S000004361
2666,principalState,US-NY,S000004361
2667,principalCountry,US,S000004361
2668,principalTotalPurchaseSale,32033280.13000000,S000004361
2669,principalName,"BofA Securities, Inc.",S000004361
2670,principalFileNo,8-69787,S000004361
2671,principalCrdNo,000283942,S000004361
2672,principalLei,549300HN4UKV1E2R3U73,S000004361
2673,principalState,US-NY,S000004361
2674,principalCountry,US,S000004361
2675,principalTotalPurchaseSale,132014324.29000000,S000004361
2676,principalName,J.P. Morgan Securities LLC,S000004361
2677,principalFileNo,8-35008,S000004361
2678,principalCrdNo,000000079,S000004361
2679,principalLei,ZBUT11V806EZRVTWT807,S000004361
2680,principalState,US-NY,S000004361
2681,principalCountry,US,S000004361
2682,principalTotalPurchaseSale,142636834.22000000,S000004361
2683,principalName,BlackRock Funds III - BlackRock Cash Funds: Institutional,S000004361
2684,principalFileNo,,S000004361
2685,principalCrdNo,,S000004361
2686,principalLei,549300JDHS1T46VWOG19,S000004361
2687,principalState,US-CA,S000004361
2688,principalCountry,US,S000004361
2689,principalTotalPurchaseSale,128799254.13000000,S000004361
2690,principalAggregatePurchase,1032181437.29000000,S000004361
2691,isBrokerageResearchPayment,N,S000004361
2692,mnthlyAvgNetAssets,118256530.83846153,S000004361
2693,hasLineOfCredit,N,S000004361
2694,isInterfundLending,N,S000004361
2695,isInterfundBorrowing,N,S000004361
2696,mgmtInvFundName,iShares ESG Advanced Total USD Bond Market ETF,S000004361
2697,mgmtInvSeriesId,S000068817,S000004361
2698,mgmtInvLei,5493003MW3304SOSOX56,S000004361
2699,isFirstFilingByFund,N,S000004361
2700,numAuthorizedClass,0,S000004361
2701,numAddedClass,0,S000004361
2702,numTerminatedClass,0,S000004361
2703,sharesOutstandingClassName,iShares ESG Advanced Total USD Bond Market ETF,S000004361
2704,sharesOutstandingClassId,C000219898,S000004361
